serialNumber,category,brand,model,schoolCode,status,specifications,condition
OTH-011226423,Others,HP,Webcam C920,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
DES-011227560,Desktop,Lenovo,OptiPlex 3080,,Available,"4000 Lumens, Wireless",Good
OTH-011228051,Others,Logitech,LaserJet Pro,,Available,"4000 Lumens, Wireless",Fair
TAB-011229548,Tablet,Samsung,MatePad,,Maintenance,"Network Ready, Duplex Printing",Good
OTH-011230326,Others,Logitech,Printer MF445dw,,Available,"4000 Lumens, Wireless",New
LAP-011231679,Laptop,Acer,Aspire 5,,Maintenance,"10.1 inch Display, 64GB Storage",Good
TAB-011232068,Tablet,Apple,iPad 9th Gen,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
LAP-011233936,Laptop,Lenovo,Aspire 5,,Available,"13.3 inch Display, 128GB Storage",Fair
DES-011234625,Desktop,HP,EliteDesk 800,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
DES-011235942,Desktop,Acer,Veriton M,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
LAP-011236168,Laptop,Acer,Latitude 3520,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
PRO-011237784,Projector,ViewSonic,HD146X,,Available,"13.3 inch Display, 128GB Storage",Fair
TAB-011238648,Tablet,Huawei,MatePad,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
LAP-011239529,Laptop,Lenovo,VivoBook 15,,Available,"Network Ready, Duplex Printing",Fair
PRO-011240251,Projector,Epson,EB-X05,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
PRO-011241081,Projector,Epson,HD146X,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
TAB-011242785,Tablet,Huawei,Galaxy Tab A8,,Maintenance,"10.1 inch Display, 64GB Storage",New
OTH-011243346,Others,Canon,Webcam C920,,Maintenance,"13.3 inch Display, 128GB Storage",Good
TAB-011244859,Tablet,Huawei,Galaxy Tab A8,,Available,"10.1 inch Display, 64GB Storage",Good
PRO-011245907,Projector,ViewSonic,HD146X,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
LAP-011246783,Laptop,ASUS,ThinkPad E14,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
LAP-011247272,Laptop,Acer,VivoBook 15,,Maintenance,"4000 Lumens, Wireless",Fair
LAP-011248462,Laptop,HP,ThinkPad E14,,Maintenance,"4000 Lumens, Wireless",New
OTH-011249966,Others,Brother,DCP-L2550DW,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
PRO-011250062,Projector,ViewSonic,EB-X05,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
PRO-011251774,Projector,Epson,EB-X05,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
LAP-011252054,Laptop,Lenovo,ThinkPad E14,,Available,"Network Ready, Duplex Printing",New
LAP-011253648,Laptop,HP,Latitude 3520,,Available,"13.3 inch Display, 128GB Storage",Fair
OTH-011254661,Others,Canon,LaserJet Pro,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
PRO-011255910,Projector,ViewSonic,HD146X,,Maintenance,"10.1 inch Display, 64GB Storage",Good
PRO-011256228,Projector,ViewSonic,EB-X05,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
DES-011257551,Desktop,HP,Veriton M,,Maintenance,"10.1 inch Display, 64GB Storage",New
LAP-011258789,Laptop,Acer,Latitude 3520,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-011259007,Laptop,ASUS,VivoBook 15,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
DES-011260500,Desktop,Acer,EliteDesk 800,,Maintenance,"10.1 inch Display, 64GB Storage",New
PRO-011261196,Projector,BenQ,PA503W,,Available,"4000 Lumens, Wireless",Fair
LAP-011262367,Laptop,Dell,Latitude 3520,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
PRO-011263421,Projector,Epson,HD146X,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
PRO-011264261,Projector,Optoma,HD146X,,Available,"4000 Lumens, Wireless",Fair
TAB-011265144,Tablet,Lenovo,MatePad,,Maintenance,"3000 Lumens, HDMI, VGA",New
TAB-011266893,Tablet,Apple,MatePad,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
PRO-011267697,Projector,Optoma,EB-X05,,Available,"Network Ready, Duplex Printing",Fair
TAB-011268199,Tablet,Huawei,iPad 9th Gen,,Available,"4000 Lumens, Wireless",Fair
DES-011269245,Desktop,Dell,EliteDesk 800,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-011270451,Desktop,Dell,ThinkCentre M720,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-011271387,Projector,ViewSonic,EB-X05,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
DES-011272601,Desktop,Acer,OptiPlex 3080,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Fair
PRO-011273525,Projector,Optoma,EB-X05,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
PRO-011274523,Projector,ViewSonic,EB-X05,,Available,"10.1 inch Display, 64GB Storage",Good
OTH-011275710,Others,Canon,LaserJet Pro,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-011276582,Projector,BenQ,PA503W,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
PRO-011277091,Projector,BenQ,PA503W,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
LAP-011278368,Laptop,Lenovo,VivoBook 15,,Maintenance,"13.3 inch Display, 128GB Storage",New
LAP-011279849,Laptop,ASUS,ProBook 450,,Maintenance,"13.3 inch Display, 128GB Storage",New
DES-011280139,Desktop,Lenovo,EliteDesk 800,,Maintenance,"3000 Lumens, HDMI, VGA",Good
DES-011281114,Desktop,HP,OptiPlex 3080,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
DES-011282377,Desktop,Lenovo,OptiPlex 3080,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
PRO-011283741,Projector,Optoma,PA503W,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
TAB-011284663,Tablet,Lenovo,iPad 9th Gen,,Available,"4000 Lumens, Wireless",New
PRO-011285335,Projector,Epson,EB-X05,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-011286461,Projector,ViewSonic,PA503W,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
PRO-011287931,Projector,ViewSonic,PA503W,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
TAB-011288352,Tablet,Huawei,MatePad,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
PRO-011289367,Projector,Optoma,HD146X,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
LAP-011290252,Laptop,Dell,VivoBook 15,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
TAB-011291622,Tablet,Apple,Tab M10,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
TAB-011292746,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
TAB-011293957,Tablet,Lenovo,MatePad,,Maintenance,"10.1 inch Display, 64GB Storage",New
DES-011294841,Desktop,HP,OptiPlex 3080,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
PRO-011295946,Projector,ViewSonic,EB-X05,,Available,"Network Ready, Duplex Printing",Fair
DES-011296524,Desktop,HP,ThinkCentre M720,,Available,"3000 Lumens, HDMI, VGA",Fair
OTH-011297387,Others,Canon,DCP-L2550DW,,Available,"Network Ready, Duplex Printing",Fair
LAP-011298541,Laptop,Acer,Aspire 5,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
DES-011299236,Desktop,Acer,EliteDesk 800,,Available,"3000 Lumens, HDMI, VGA",Good
OTH-011300859,Others,HP,DCP-L2550DW,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
LAP-011301905,Laptop,Acer,VivoBook 15,,Maintenance,"4000 Lumens, Wireless",New
TAB-011302948,Tablet,Lenovo,Tab M10,,Available,"3000 Lumens, HDMI, VGA",Fair
LAP-011303178,Laptop,HP,ThinkPad E14,,Available,"3000 Lumens, HDMI, VGA",New
LAP-011304869,Laptop,ASUS,VivoBook 15,,Available,"13.3 inch Display, 128GB Storage",New
LAP-011305462,Laptop,ASUS,Latitude 3520,,Maintenance,"10.1 inch Display, 64GB Storage",Good
PRO-011306182,Projector,Epson,EB-X05,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
TAB-011307959,Tablet,Huawei,iPad 9th Gen,,Available,"Network Ready, Duplex Printing",Fair
PRO-011308899,Projector,ViewSonic,MH550,,Available,"10.1 inch Display, 64GB Storage",Fair
PRO-011309713,Projector,ViewSonic,PA503W,,Available,"3000 Lumens, HDMI, VGA",Fair
LAP-011310331,Laptop,Dell,Aspire 5,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
TAB-011311221,Tablet,Samsung,Tab M10,,Available,"10.1 inch Display, 64GB Storage",Fair
OTH-011312731,Others,Logitech,DCP-L2550DW,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
LAP-011313876,Laptop,Lenovo,VivoBook 15,,Available,"13.3 inch Display, 128GB Storage",Fair
TAB-011314509,Tablet,Apple,MatePad,,Maintenance,"3000 Lumens, HDMI, VGA",New
TAB-011315096,Tablet,Huawei,Tab M10,,Available,"13.3 inch Display, 128GB Storage",New
DES-011316272,Desktop,Dell,OptiPlex 3080,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
LAP-011317012,Laptop,Dell,Latitude 3520,,Maintenance,"3000 Lumens, HDMI, VGA",New
DES-011318875,Desktop,Acer,ThinkCentre M720,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
DES-011319028,Desktop,Acer,Veriton M,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
DES-011320441,Desktop,HP,EliteDesk 800,,Available,"Network Ready, Duplex Printing",Fair
DES-011321116,Desktop,HP,Veriton M,,Available,"Network Ready, Duplex Printing",Fair
LAP-011322424,Laptop,HP,Aspire 5,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
DES-011323308,Desktop,Lenovo,Veriton M,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
PRO-011324531,Projector,BenQ,MH550,,Available,"Network Ready, Duplex Printing",Fair
PRO-011325363,Projector,Optoma,PA503W,,Available,"10.1 inch Display, 64GB Storage",Fair
OTH-011326031,Others,Canon,DCP-L2550DW,,Available,"3000 Lumens, HDMI, VGA",New
OTH-011327042,Others,Brother,Printer MF445dw,,Available,"13.3 inch Display, 128GB Storage",Good
OTH-011328531,Others,Brother,LaserJet Pro,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
TAB-011329491,Tablet,Lenovo,MatePad,,Maintenance,"Network Ready, Duplex Printing",Good
DES-011330641,Desktop,HP,OptiPlex 3080,,Available,"4000 Lumens, Wireless",New
OTH-011331441,Others,Canon,DCP-L2550DW,,Maintenance,"13.3 inch Display, 128GB Storage",Good
OTH-011332125,Others,Brother,Webcam C920,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
PRO-011333226,Projector,ViewSonic,HD146X,,Available,"Network Ready, Duplex Printing",Fair
PRO-011334461,Projector,ViewSonic,EB-X05,,Available,"3000 Lumens, HDMI, VGA",New
TAB-011335031,Tablet,Lenovo,iPad 9th Gen,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
DES-011336017,Desktop,HP,Veriton M,,Available,"13.3 inch Display, 128GB Storage",Good
DES-011337894,Desktop,HP,OptiPlex 3080,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
OTH-011338322,Others,Canon,DCP-L2550DW,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
DES-011339090,Desktop,Lenovo,ThinkCentre M720,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
TAB-011340683,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"Network Ready, Duplex Printing",New
OTH-011341131,Others,Canon,DCP-L2550DW,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
DES-011342389,Desktop,Acer,EliteDesk 800,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
LAP-011343558,Laptop,HP,ThinkPad E14,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-011344290,Laptop,Dell,Aspire 5,,Available,"3000 Lumens, HDMI, VGA",Fair
OTH-011345071,Others,HP,DCP-L2550DW,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
OTH-011346914,Others,Logitech,DCP-L2550DW,,Available,"13.3 inch Display, 128GB Storage",Good
DES-011347539,Desktop,Dell,ThinkCentre M720,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
DES-011348103,Desktop,Acer,ThinkCentre M720,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
TAB-011349597,Tablet,Samsung,MatePad,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
TAB-011350633,Tablet,Apple,Tab M10,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
DES-011351041,Desktop,Dell,ThinkCentre M720,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
LAP-021352212,Laptop,Lenovo,Aspire 5,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
DES-031353233,Desktop,HP,OptiPlex 3080,,Maintenance,"Network Ready, Duplex Printing",Good
LAP-031354723,Laptop,Acer,Latitude 3520,,Maintenance,"4000 Lumens, Wireless",Fair
DES-031355225,Desktop,HP,ThinkCentre M720,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
OTH-031356067,Others,HP,Webcam C920,,Maintenance,"Network Ready, Duplex Printing",Good
OTH-031357980,Others,HP,DCP-L2550DW,,Maintenance,"4000 Lumens, Wireless",Fair
TAB-031358347,Tablet,Huawei,Galaxy Tab A8,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
DES-031359394,Desktop,Dell,Veriton M,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
TAB-031360921,Tablet,Apple,iPad 9th Gen,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
LAP-031361181,Laptop,Dell,ThinkPad E14,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
DES-031362011,Desktop,Acer,OptiPlex 3080,,Maintenance,"Network Ready, Duplex Printing",Fair
LAP-031363425,Laptop,HP,ProBook 450,,Available,"10.1 inch Display, 64GB Storage",Good
LAP-031364724,Laptop,HP,Aspire 5,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
OTH-031365086,Others,HP,Printer MF445dw,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
LAP-031366572,Laptop,ASUS,VivoBook 15,,Available,"3000 Lumens, HDMI, VGA",New
PRO-031367833,Projector,BenQ,HD146X,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
DES-031368396,Desktop,Dell,OptiPlex 3080,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
OTH-031369155,Others,Brother,DCP-L2550DW,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
TAB-031370964,Tablet,Apple,iPad 9th Gen,,Maintenance,"3000 Lumens, HDMI, VGA",New
LAP-031371014,Laptop,Acer,ThinkPad E14,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
TAB-031372551,Tablet,Samsung,Tab M10,,Maintenance,"10.1 inch Display, 64GB Storage",New
OTH-031373791,Others,HP,Webcam C920,,Available,"13.3 inch Display, 128GB Storage",Good
PRO-031374708,Projector,Epson,PA503W,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
DES-031375637,Desktop,Lenovo,Veriton M,,Available,"13.3 inch Display, 128GB Storage",Good
PRO-031376261,Projector,ViewSonic,EB-X05,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
OTH-031377791,Others,Brother,Printer MF445dw,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
TAB-031378694,Tablet,Lenovo,MatePad,,Available,"Network Ready, Duplex Printing",Fair
TAB-031379563,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"10.1 inch Display, 64GB Storage",New
TAB-031380307,Tablet,Huawei,Tab M10,,Maintenance,"13.3 inch Display, 128GB Storage",Good
PRO-031381531,Projector,Epson,MH550,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
LAP-031382981,Laptop,Lenovo,Aspire 5,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
DES-031383023,Desktop,Lenovo,ThinkCentre M720,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
DES-031384974,Desktop,Dell,EliteDesk 800,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
LAP-031385412,Laptop,Lenovo,ProBook 450,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
LAP-031386604,Laptop,ASUS,ProBook 450,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
DES-031387893,Desktop,Dell,OptiPlex 3080,,Available,"4000 Lumens, Wireless",New
PRO-031388497,Projector,Epson,PA503W,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
OTH-031389954,Others,Canon,Webcam C920,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-031390231,Laptop,Dell,Aspire 5,,Available,"4000 Lumens, Wireless",New
DES-031391420,Desktop,HP,Veriton M,,Maintenance,"Network Ready, Duplex Printing",New
TAB-031392582,Tablet,Lenovo,MatePad,,Maintenance,"10.1 inch Display, 64GB Storage",Good
OTH-031393558,Others,Canon,Printer MF445dw,,Available,"10.1 inch Display, 64GB Storage",Fair
LAP-031394409,Laptop,HP,ThinkPad E14,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
DES-031395408,Desktop,Acer,ThinkCentre M720,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
OTH-031396161,Others,Logitech,LaserJet Pro,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
LAP-031397392,Laptop,Dell,ThinkPad E14,,Available,"10.1 inch Display, 64GB Storage",Fair
OTH-031398618,Others,Brother,LaserJet Pro,,Available,"13.3 inch Display, 128GB Storage",Fair
DES-031399415,Desktop,Lenovo,EliteDesk 800,,Maintenance,"13.3 inch Display, 128GB Storage",New
OTH-031400385,Others,HP,LaserJet Pro,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-031401450,Desktop,Lenovo,Veriton M,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-031402916,Projector,BenQ,PA503W,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
LAP-031403641,Laptop,Dell,ProBook 450,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
DES-031404985,Desktop,Dell,OptiPlex 3080,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
DES-031405683,Desktop,Lenovo,EliteDesk 800,,Available,"10.1 inch Display, 64GB Storage",New
DES-031406972,Desktop,HP,Veriton M,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
TAB-031407879,Tablet,Lenovo,iPad 9th Gen,,Available,"3000 Lumens, HDMI, VGA",Fair
PRO-031408036,Projector,Optoma,HD146X,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-031409062,Others,HP,Webcam C920,,Available,"13.3 inch Display, 128GB Storage",New
LAP-031410149,Laptop,Dell,Aspire 5,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
OTH-031411530,Others,HP,Printer MF445dw,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
OTH-031412575,Others,Brother,DCP-L2550DW,,Available,"3000 Lumens, HDMI, VGA",Fair
TAB-031413881,Tablet,Samsung,MatePad,,Available,"Network Ready, Duplex Printing",Fair
DES-031414386,Desktop,Acer,ThinkCentre M720,,Maintenance,"Network Ready, Duplex Printing",New
LAP-031415966,Laptop,Acer,VivoBook 15,,Available,"Network Ready, Duplex Printing",Fair
OTH-031416493,Others,Logitech,Webcam C920,,Available,"Network Ready, Duplex Printing",Good
PRO-031417922,Projector,BenQ,MH550,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
OTH-031418974,Others,Logitech,Webcam C920,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
PRO-031419373,Projector,ViewSonic,PA503W,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
PRO-031420030,Projector,Optoma,MH550,,Maintenance,"4000 Lumens, Wireless",Good
PRO-031421132,Projector,BenQ,MH550,,Maintenance,"4000 Lumens, Wireless",New
PRO-031422467,Projector,Optoma,MH550,,Available,"3000 Lumens, HDMI, VGA",Fair
OTH-031423132,Others,Logitech,Webcam C920,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
OTH-031424235,Others,Brother,Webcam C920,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-031425758,Projector,Optoma,PA503W,,Available,"4000 Lumens, Wireless",Good
OTH-031426027,Others,Logitech,DCP-L2550DW,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
OTH-031427615,Others,Logitech,LaserJet Pro,,Available,"3000 Lumens, HDMI, VGA",New
LAP-031428884,Laptop,Dell,ThinkPad E14,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
PRO-031429848,Projector,ViewSonic,PA503W,,Available,"4000 Lumens, Wireless",Fair
TAB-031430143,Tablet,Samsung,Tab M10,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
OTH-031431354,Others,Logitech,DCP-L2550DW,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
LAP-031432571,Laptop,ASUS,Latitude 3520,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
OTH-031433907,Others,Brother,LaserJet Pro,,Available,"10.1 inch Display, 64GB Storage",Fair
TAB-031434549,Tablet,Lenovo,Tab M10,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
PRO-031435502,Projector,BenQ,HD146X,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-031436763,Laptop,ASUS,VivoBook 15,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
DES-031437356,Desktop,Lenovo,Veriton M,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
TAB-031438920,Tablet,Apple,Galaxy Tab A8,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
OTH-031439016,Others,Logitech,Printer MF445dw,,Maintenance,"10.1 inch Display, 64GB Storage",New
OTH-031440980,Others,Logitech,Webcam C920,,Maintenance,"13.3 inch Display, 128GB Storage",Good
PRO-031441608,Projector,Optoma,HD146X,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
PRO-031442849,Projector,Optoma,MH550,,Maintenance,"Network Ready, Duplex Printing",New
LAP-031443824,Laptop,ASUS,ProBook 450,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-031444226,Others,Logitech,DCP-L2550DW,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
OTH-031445537,Others,Canon,LaserJet Pro,,Maintenance,"4000 Lumens, Wireless",New
TAB-031446480,Tablet,Huawei,MatePad,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
OTH-031447157,Others,HP,Printer MF445dw,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
DES-031448576,Desktop,Dell,ThinkCentre M720,,Available,"Network Ready, Duplex Printing",Fair
OTH-031449914,Others,Canon,DCP-L2550DW,,Available,"Network Ready, Duplex Printing",New
PRO-031450295,Projector,Optoma,PA503W,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
DES-031451922,Desktop,Dell,OptiPlex 3080,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-031452386,Others,HP,DCP-L2550DW,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
TAB-031453116,Tablet,Huawei,iPad 9th Gen,,Maintenance,"3000 Lumens, HDMI, VGA",Good
PRO-031454858,Projector,ViewSonic,MH550,,Maintenance,"Network Ready, Duplex Printing",Good
TAB-031455227,Tablet,Samsung,Tab M10,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
PRO-031456738,Projector,ViewSonic,EB-X05,,Maintenance,"4000 Lumens, Wireless",New
OTH-031457338,Others,Brother,LaserJet Pro,,Available,"4000 Lumens, Wireless",New
OTH-031458113,Others,Canon,DCP-L2550DW,,Available,"10.1 inch Display, 64GB Storage",Good
LAP-031459086,Laptop,Dell,Latitude 3520,,Available,"13.3 inch Display, 128GB Storage",New
LAP-031460769,Laptop,Dell,VivoBook 15,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
LAP-031461764,Laptop,Dell,ProBook 450,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
TAB-031462537,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"Network Ready, Duplex Printing",New
DES-031463893,Desktop,Acer,Veriton M,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
LAP-031464713,Laptop,HP,Aspire 5,,Available,"3000 Lumens, HDMI, VGA",Fair
DES-031465664,Desktop,HP,EliteDesk 800,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
DES-031466315,Desktop,Dell,EliteDesk 800,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
OTH-031467799,Others,Brother,DCP-L2550DW,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
OTH-031468697,Others,Brother,LaserJet Pro,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
PRO-031469008,Projector,ViewSonic,PA503W,,Available,"13.3 inch Display, 128GB Storage",Fair
DES-031470677,Desktop,Acer,OptiPlex 3080,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
OTH-031471070,Others,HP,DCP-L2550DW,,Available,"10.1 inch Display, 64GB Storage",Fair
DES-031472296,Desktop,Dell,ThinkCentre M720,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
DES-031473288,Desktop,Lenovo,OptiPlex 3080,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
PRO-031474398,Projector,BenQ,MH550,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-031475170,Laptop,ASUS,ProBook 450,,Available,"4000 Lumens, Wireless",Fair
PRO-031476918,Projector,Epson,MH550,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
TAB-031477976,Tablet,Apple,Galaxy Tab A8,,Available,"10.1 inch Display, 64GB Storage",Fair
DES-031478602,Desktop,HP,EliteDesk 800,,Available,"10.1 inch Display, 64GB Storage",Fair
TAB-031479468,Tablet,Apple,iPad 9th Gen,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-031480627,Others,Brother,Printer MF445dw,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
PRO-031481863,Projector,Optoma,EB-X05,,Maintenance,"10.1 inch Display, 64GB Storage",New
OTH-031482379,Others,Canon,LaserJet Pro,,Available,"4000 Lumens, Wireless",Good
DES-031483148,Desktop,Lenovo,EliteDesk 800,,Maintenance,"13.3 inch Display, 128GB Storage",New
DES-031484168,Desktop,HP,ThinkCentre M720,,Available,"4000 Lumens, Wireless",Good
LAP-031485776,Laptop,ASUS,Latitude 3520,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
