schoolCode,schoolName,category,province,district,sector,cell,village,email,phoneNumber,representativeEmail,status
SCH02434,Test School 2434,VTC,Southern Province,Kamonyi,Sector 15,Cell 5,Village 5,school2434@testschool.rw,+25078002434,,Active
SCH02435,Test School 2435,Other,Kigali City,Nyarugenge,Sector 16,Cell 6,Village 6,school2435@testschool.rw,+25078002435,,Inactive
SCH02436,Test School 2436,TSS,Eastern Province,Bugesera,Sector 17,Cell 7,Village 7,school2436@testschool.rw,+25078002436,,Active
SCH02437,Test School 2437,VTC,Western Province,Ngororero,Sector 18,Cell 8,Village 8,school2437@testschool.rw,+25078002437,,Inactive
SCH02438,Test School 2438,Other,Northern Province,Musanze,Sector 19,Cell 9,Village 9,school2438@testschool.rw,+25078002438,,Active
SCH02439,Test School 2439,TSS,Southern Province,Ruhango,Sector 20,Cell 10,Village 10,school2439@testschool.rw,+25078002439,,Inactive
SCH02440,Test School 2440,VTC,Kigali City,Kicukiro,Sector 1,Cell 1,Village 11,school2440@testschool.rw,+25078002440,,Active
SCH02441,Test School 2441,Other,Eastern Province,Nyagatare,Sector 2,Cell 2,Village 12,school2441@testschool.rw,+25078002441,,Inactive
SCH02442,Test School 2442,TSS,Western Province,Rutsiro,Sector 3,Cell 3,Village 13,school2442@testschool.rw,+25078002442,,Active
SCH02443,Test School 2443,VTC,Northern Province,Musanze,Sector 4,Cell 4,Village 14,school2443@testschool.rw,+25078002443,,Inactive
SCH02444,Test School 2444,Other,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 15,school2444@testschool.rw,+25078002444,,Active
SCH02445,Test School 2445,TSS,Kigali City,Gasabo,Sector 6,Cell 6,Village 1,school2445@testschool.rw,+25078002445,,Inactive
SCH02446,Test School 2446,VTC,Eastern Province,Kirehe,Sector 7,Cell 7,Village 2,school2446@testschool.rw,+25078002446,,Active
SCH02447,Test School 2447,Other,Western Province,Rubavu,Sector 8,Cell 8,Village 3,school2447@testschool.rw,+25078002447,,Inactive
SCH02448,Test School 2448,TSS,Northern Province,Musanze,Sector 9,Cell 9,Village 4,school2448@testschool.rw,+25078002448,,Active
SCH02449,Test School 2449,VTC,Southern Province,Huye,Sector 10,Cell 10,Village 5,school2449@testschool.rw,+25078002449,,Inactive
SCH02450,Test School 2450,Other,Kigali City,Nyarugenge,Sector 11,Cell 1,Village 6,school2450@testschool.rw,+25078002450,,Active
SCH02451,Test School 2451,TSS,Eastern Province,Gatsibo,Sector 12,Cell 2,Village 7,school2451@testschool.rw,+25078002451,,Inactive
SCH02452,Test School 2452,VTC,Western Province,Nyabihu,Sector 13,Cell 3,Village 8,school2452@testschool.rw,+25078002452,,Active
SCH02453,Test School 2453,Other,Northern Province,Musanze,Sector 14,Cell 4,Village 9,school2453@testschool.rw,+25078002453,,Inactive
SCH02454,Test School 2454,TSS,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 10,school2454@testschool.rw,+25078002454,,Active
SCH02455,Test School 2455,VTC,Kigali City,Kicukiro,Sector 16,Cell 6,Village 11,school2455@testschool.rw,+25078002455,,Inactive
SCH02456,Test School 2456,Other,Eastern Province,Rwamagana,Sector 17,Cell 7,Village 12,school2456@testschool.rw,+25078002456,,Active
SCH02457,Test School 2457,TSS,Western Province,Karongi,Sector 18,Cell 8,Village 13,school2457@testschool.rw,+25078002457,,Inactive
SCH02458,Test School 2458,VTC,Northern Province,Musanze,Sector 19,Cell 9,Village 14,school2458@testschool.rw,+25078002458,,Active
SCH02459,Test School 2459,Other,Southern Province,Muhanga,Sector 20,Cell 10,Village 15,school2459@testschool.rw,+25078002459,,Inactive
SCH02460,Test School 2460,TSS,Kigali City,Gasabo,Sector 1,Cell 1,Village 1,school2460@testschool.rw,+25078002460,,Active
SCH02461,Test School 2461,VTC,Eastern Province,Ngoma,Sector 2,Cell 2,Village 2,school2461@testschool.rw,+25078002461,,Inactive
SCH02462,Test School 2462,Other,Western Province,Rusizi,Sector 3,Cell 3,Village 3,school2462@testschool.rw,+25078002462,,Active
SCH02463,Test School 2463,TSS,Northern Province,Musanze,Sector 4,Cell 4,Village 4,school2463@testschool.rw,+25078002463,,Inactive
SCH02464,Test School 2464,VTC,Southern Province,Gisagara,Sector 5,Cell 5,Village 5,school2464@testschool.rw,+25078002464,,Active
SCH02465,Test School 2465,Other,Kigali City,Nyarugenge,Sector 6,Cell 6,Village 6,school2465@testschool.rw,+25078002465,,Inactive
SCH02466,Test School 2466,TSS,Eastern Province,Kayonza,Sector 7,Cell 7,Village 7,school2466@testschool.rw,+25078002466,,Active
SCH02467,Test School 2467,VTC,Western Province,Nyamasheke,Sector 8,Cell 8,Village 8,school2467@testschool.rw,+25078002467,,Inactive
SCH02468,Test School 2468,Other,Northern Province,Musanze,Sector 9,Cell 9,Village 9,school2468@testschool.rw,+25078002468,,Active
SCH02469,Test School 2469,TSS,Southern Province,Nyanza,Sector 10,Cell 10,Village 10,school2469@testschool.rw,+25078002469,,Inactive
SCH02470,Test School 2470,VTC,Kigali City,Kicukiro,Sector 11,Cell 1,Village 11,school2470@testschool.rw,+25078002470,,Active
SCH02471,Test School 2471,Other,Eastern Province,Bugesera,Sector 12,Cell 2,Village 12,school2471@testschool.rw,+25078002471,,Inactive
SCH02472,Test School 2472,TSS,Western Province,Ngororero,Sector 13,Cell 3,Village 13,school2472@testschool.rw,+25078002472,,Active
SCH02473,Test School 2473,VTC,Northern Province,Musanze,Sector 14,Cell 4,Village 14,school2473@testschool.rw,+25078002473,,Inactive
SCH02474,Test School 2474,Other,Southern Province,Kamonyi,Sector 15,Cell 5,Village 15,school2474@testschool.rw,+25078002474,,Active
SCH02475,Test School 2475,TSS,Kigali City,Gasabo,Sector 16,Cell 6,Village 1,school2475@testschool.rw,+25078002475,,Inactive
SCH02476,Test School 2476,VTC,Eastern Province,Nyagatare,Sector 17,Cell 7,Village 2,school2476@testschool.rw,+25078002476,,Active
SCH02477,Test School 2477,Other,Western Province,Rutsiro,Sector 18,Cell 8,Village 3,school2477@testschool.rw,+25078002477,,Inactive
SCH02478,Test School 2478,TSS,Northern Province,Musanze,Sector 19,Cell 9,Village 4,school2478@testschool.rw,+25078002478,,Active
SCH02479,Test School 2479,VTC,Southern Province,Ruhango,Sector 20,Cell 10,Village 5,school2479@testschool.rw,+25078002479,,Inactive
SCH02480,Test School 2480,Other,Kigali City,Nyarugenge,Sector 1,Cell 1,Village 6,school2480@testschool.rw,+25078002480,,Active
SCH02481,Test School 2481,TSS,Eastern Province,Kirehe,Sector 2,Cell 2,Village 7,school2481@testschool.rw,+25078002481,,Inactive
SCH02482,Test School 2482,VTC,Western Province,Rubavu,Sector 3,Cell 3,Village 8,school2482@testschool.rw,+25078002482,,Active
SCH02483,Test School 2483,Other,Northern Province,Musanze,Sector 4,Cell 4,Village 9,school2483@testschool.rw,+25078002483,,Inactive
SCH02484,Test School 2484,TSS,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 10,school2484@testschool.rw,+25078002484,,Active
SCH02485,Test School 2485,VTC,Kigali City,Kicukiro,Sector 6,Cell 6,Village 11,school2485@testschool.rw,+25078002485,,Inactive
SCH02486,Test School 2486,Other,Eastern Province,Gatsibo,Sector 7,Cell 7,Village 12,school2486@testschool.rw,+25078002486,,Active
SCH02487,Test School 2487,TSS,Western Province,Nyabihu,Sector 8,Cell 8,Village 13,school2487@testschool.rw,+25078002487,,Inactive
SCH02488,Test School 2488,VTC,Northern Province,Musanze,Sector 9,Cell 9,Village 14,school2488@testschool.rw,+25078002488,,Active
SCH02489,Test School 2489,Other,Southern Province,Huye,Sector 10,Cell 10,Village 15,school2489@testschool.rw,+25078002489,,Inactive
SCH02490,Test School 2490,TSS,Kigali City,Gasabo,Sector 11,Cell 1,Village 1,school2490@testschool.rw,+25078002490,,Active
SCH02491,Test School 2491,VTC,Eastern Province,Rwamagana,Sector 12,Cell 2,Village 2,school2491@testschool.rw,+25078002491,,Inactive
SCH02492,Test School 2492,Other,Western Province,Karongi,Sector 13,Cell 3,Village 3,school2492@testschool.rw,+25078002492,,Active
SCH02493,Test School 2493,TSS,Northern Province,Musanze,Sector 14,Cell 4,Village 4,school2493@testschool.rw,+25078002493,,Inactive
SCH02494,Test School 2494,VTC,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 5,school2494@testschool.rw,+25078002494,,Active
SCH02495,Test School 2495,Other,Kigali City,Nyarugenge,Sector 16,Cell 6,Village 6,school2495@testschool.rw,+25078002495,,Inactive
SCH02496,Test School 2496,TSS,Eastern Province,Ngoma,Sector 17,Cell 7,Village 7,school2496@testschool.rw,+25078002496,,Active
SCH02497,Test School 2497,VTC,Western Province,Rusizi,Sector 18,Cell 8,Village 8,school2497@testschool.rw,+25078002497,,Inactive
SCH02498,Test School 2498,Other,Northern Province,Musanze,Sector 19,Cell 9,Village 9,school2498@testschool.rw,+25078002498,,Active
SCH02499,Test School 2499,TSS,Southern Province,Muhanga,Sector 20,Cell 10,Village 10,school2499@testschool.rw,+25078002499,,Inactive
SCH02500,Test School 2500,VTC,Kigali City,Kicukiro,Sector 1,Cell 1,Village 11,school2500@testschool.rw,+25078002500,,Active
SCH02501,Test School 2501,Other,Eastern Province,Kayonza,Sector 2,Cell 2,Village 12,school2501@testschool.rw,+25078002501,,Inactive
SCH02502,Test School 2502,TSS,Western Province,Nyamasheke,Sector 3,Cell 3,Village 13,school2502@testschool.rw,+25078002502,,Active
SCH02503,Test School 2503,VTC,Northern Province,Musanze,Sector 4,Cell 4,Village 14,school2503@testschool.rw,+25078002503,,Inactive
SCH02504,Test School 2504,Other,Southern Province,Gisagara,Sector 5,Cell 5,Village 15,school2504@testschool.rw,+25078002504,,Active
SCH02505,Test School 2505,TSS,Kigali City,Gasabo,Sector 6,Cell 6,Village 1,school2505@testschool.rw,+25078002505,,Inactive
SCH02506,Test School 2506,VTC,Eastern Province,Bugesera,Sector 7,Cell 7,Village 2,school2506@testschool.rw,+25078002506,,Active
SCH02507,Test School 2507,Other,Western Province,Ngororero,Sector 8,Cell 8,Village 3,school2507@testschool.rw,+25078002507,,Inactive
SCH02508,Test School 2508,TSS,Northern Province,Musanze,Sector 9,Cell 9,Village 4,school2508@testschool.rw,+25078002508,,Active
SCH02509,Test School 2509,VTC,Southern Province,Nyanza,Sector 10,Cell 10,Village 5,school2509@testschool.rw,+25078002509,,Inactive
SCH02510,Test School 2510,Other,Kigali City,Nyarugenge,Sector 11,Cell 1,Village 6,school2510@testschool.rw,+25078002510,,Active
SCH02511,Test School 2511,TSS,Eastern Province,Nyagatare,Sector 12,Cell 2,Village 7,school2511@testschool.rw,+25078002511,,Inactive
SCH02512,Test School 2512,VTC,Western Province,Rutsiro,Sector 13,Cell 3,Village 8,school2512@testschool.rw,+25078002512,,Active
SCH02513,Test School 2513,Other,Northern Province,Musanze,Sector 14,Cell 4,Village 9,school2513@testschool.rw,+25078002513,,Inactive
SCH02514,Test School 2514,TSS,Southern Province,Kamonyi,Sector 15,Cell 5,Village 10,school2514@testschool.rw,+25078002514,,Active
SCH02515,Test School 2515,VTC,Kigali City,Kicukiro,Sector 16,Cell 6,Village 11,school2515@testschool.rw,+25078002515,,Inactive
SCH02516,Test School 2516,Other,Eastern Province,Kirehe,Sector 17,Cell 7,Village 12,school2516@testschool.rw,+25078002516,,Active
SCH02517,Test School 2517,TSS,Western Province,Rubavu,Sector 18,Cell 8,Village 13,school2517@testschool.rw,+25078002517,,Inactive
SCH02518,Test School 2518,VTC,Northern Province,Musanze,Sector 19,Cell 9,Village 14,school2518@testschool.rw,+25078002518,,Active
SCH02519,Test School 2519,Other,Southern Province,Ruhango,Sector 20,Cell 10,Village 15,school2519@testschool.rw,+25078002519,,Inactive
SCH02520,Test School 2520,TSS,Kigali City,Gasabo,Sector 1,Cell 1,Village 1,school2520@testschool.rw,+25078002520,,Active
SCH02521,Test School 2521,VTC,Eastern Province,Gatsibo,Sector 2,Cell 2,Village 2,school2521@testschool.rw,+25078002521,,Inactive
SCH02522,Test School 2522,Other,Western Province,Nyabihu,Sector 3,Cell 3,Village 3,school2522@testschool.rw,+25078002522,,Active
SCH02523,Test School 2523,TSS,Northern Province,Musanze,Sector 4,Cell 4,Village 4,school2523@testschool.rw,+25078002523,,Inactive
SCH02524,Test School 2524,VTC,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 5,school2524@testschool.rw,+25078002524,,Active
SCH02525,Test School 2525,Other,Kigali City,Nyarugenge,Sector 6,Cell 6,Village 6,school2525@testschool.rw,+25078002525,,Inactive
SCH02526,Test School 2526,TSS,Eastern Province,Rwamagana,Sector 7,Cell 7,Village 7,school2526@testschool.rw,+25078002526,,Active
SCH02527,Test School 2527,VTC,Western Province,Karongi,Sector 8,Cell 8,Village 8,school2527@testschool.rw,+25078002527,,Inactive
SCH02528,Test School 2528,Other,Northern Province,Musanze,Sector 9,Cell 9,Village 9,school2528@testschool.rw,+25078002528,,Active
SCH02529,Test School 2529,TSS,Southern Province,Huye,Sector 10,Cell 10,Village 10,school2529@testschool.rw,+25078002529,,Inactive
SCH02530,Test School 2530,VTC,Kigali City,Kicukiro,Sector 11,Cell 1,Village 11,school2530@testschool.rw,+25078002530,,Active
SCH02531,Test School 2531,Other,Eastern Province,Ngoma,Sector 12,Cell 2,Village 12,school2531@testschool.rw,+25078002531,,Inactive
SCH02532,Test School 2532,TSS,Western Province,Rusizi,Sector 13,Cell 3,Village 13,school2532@testschool.rw,+25078002532,,Active
SCH02533,Test School 2533,VTC,Northern Province,Musanze,Sector 14,Cell 4,Village 14,school2533@testschool.rw,+25078002533,,Inactive
SCH02534,Test School 2534,Other,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 15,school2534@testschool.rw,+25078002534,,Active
SCH02535,Test School 2535,TSS,Kigali City,Gasabo,Sector 16,Cell 6,Village 1,school2535@testschool.rw,+25078002535,,Inactive
SCH02536,Test School 2536,VTC,Eastern Province,Kayonza,Sector 17,Cell 7,Village 2,school2536@testschool.rw,+25078002536,,Active
SCH02537,Test School 2537,Other,Western Province,Nyamasheke,Sector 18,Cell 8,Village 3,school2537@testschool.rw,+25078002537,,Inactive
SCH02538,Test School 2538,TSS,Northern Province,Musanze,Sector 19,Cell 9,Village 4,school2538@testschool.rw,+25078002538,,Active
SCH02539,Test School 2539,VTC,Southern Province,Muhanga,Sector 20,Cell 10,Village 5,school2539@testschool.rw,+25078002539,,Inactive
SCH02540,Test School 2540,Other,Kigali City,Nyarugenge,Sector 1,Cell 1,Village 6,school2540@testschool.rw,+25078002540,,Active
SCH02541,Test School 2541,TSS,Eastern Province,Bugesera,Sector 2,Cell 2,Village 7,school2541@testschool.rw,+25078002541,,Inactive
SCH02542,Test School 2542,VTC,Western Province,Ngororero,Sector 3,Cell 3,Village 8,school2542@testschool.rw,+25078002542,,Active
SCH02543,Test School 2543,Other,Northern Province,Musanze,Sector 4,Cell 4,Village 9,school2543@testschool.rw,+25078002543,,Inactive
SCH02544,Test School 2544,TSS,Southern Province,Gisagara,Sector 5,Cell 5,Village 10,school2544@testschool.rw,+25078002544,,Active
SCH02545,Test School 2545,VTC,Kigali City,Kicukiro,Sector 6,Cell 6,Village 11,school2545@testschool.rw,+25078002545,,Inactive
SCH02546,Test School 2546,Other,Eastern Province,Nyagatare,Sector 7,Cell 7,Village 12,school2546@testschool.rw,+25078002546,,Active
SCH02547,Test School 2547,TSS,Western Province,Rutsiro,Sector 8,Cell 8,Village 13,school2547@testschool.rw,+25078002547,,Inactive
SCH02548,Test School 2548,VTC,Northern Province,Musanze,Sector 9,Cell 9,Village 14,school2548@testschool.rw,+25078002548,,Active
SCH02549,Test School 2549,Other,Southern Province,Nyanza,Sector 10,Cell 10,Village 15,school2549@testschool.rw,+25078002549,,Inactive
SCH02550,Test School 2550,TSS,Kigali City,Gasabo,Sector 11,Cell 1,Village 1,school2550@testschool.rw,+25078002550,,Active
SCH02551,Test School 2551,VTC,Eastern Province,Kirehe,Sector 12,Cell 2,Village 2,school2551@testschool.rw,+25078002551,,Inactive
SCH02552,Test School 2552,Other,Western Province,Rubavu,Sector 13,Cell 3,Village 3,school2552@testschool.rw,+25078002552,,Active
SCH02553,Test School 2553,TSS,Northern Province,Musanze,Sector 14,Cell 4,Village 4,school2553@testschool.rw,+25078002553,,Inactive
SCH02554,Test School 2554,VTC,Southern Province,Kamonyi,Sector 15,Cell 5,Village 5,school2554@testschool.rw,+25078002554,,Active
SCH02555,Test School 2555,Other,Kigali City,Nyarugenge,Sector 16,Cell 6,Village 6,school2555@testschool.rw,+25078002555,,Inactive
SCH02556,Test School 2556,TSS,Eastern Province,Gatsibo,Sector 17,Cell 7,Village 7,school2556@testschool.rw,+25078002556,,Active
SCH02557,Test School 2557,VTC,Western Province,Nyabihu,Sector 18,Cell 8,Village 8,school2557@testschool.rw,+25078002557,,Inactive
SCH02558,Test School 2558,Other,Northern Province,Musanze,Sector 19,Cell 9,Village 9,school2558@testschool.rw,+25078002558,,Active
SCH02559,Test School 2559,TSS,Southern Province,Ruhango,Sector 20,Cell 10,Village 10,school2559@testschool.rw,+25078002559,,Inactive
SCH02560,Test School 2560,VTC,Kigali City,Kicukiro,Sector 1,Cell 1,Village 11,school2560@testschool.rw,+25078002560,,Active
SCH02561,Test School 2561,Other,Eastern Province,Rwamagana,Sector 2,Cell 2,Village 12,school2561@testschool.rw,+25078002561,,Inactive
SCH02562,Test School 2562,TSS,Western Province,Karongi,Sector 3,Cell 3,Village 13,school2562@testschool.rw,+25078002562,,Active
SCH02563,Test School 2563,VTC,Northern Province,Musanze,Sector 4,Cell 4,Village 14,school2563@testschool.rw,+25078002563,,Inactive
SCH02564,Test School 2564,Other,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 15,school2564@testschool.rw,+25078002564,,Active
SCH02565,Test School 2565,TSS,Kigali City,Gasabo,Sector 6,Cell 6,Village 1,school2565@testschool.rw,+25078002565,,Inactive
SCH02566,Test School 2566,VTC,Eastern Province,Ngoma,Sector 7,Cell 7,Village 2,school2566@testschool.rw,+25078002566,,Active
SCH02567,Test School 2567,Other,Western Province,Rusizi,Sector 8,Cell 8,Village 3,school2567@testschool.rw,+25078002567,,Inactive
SCH02568,Test School 2568,TSS,Northern Province,Musanze,Sector 9,Cell 9,Village 4,school2568@testschool.rw,+25078002568,,Active
SCH02569,Test School 2569,VTC,Southern Province,Huye,Sector 10,Cell 10,Village 5,school2569@testschool.rw,+25078002569,,Inactive
SCH02570,Test School 2570,Other,Kigali City,Nyarugenge,Sector 11,Cell 1,Village 6,school2570@testschool.rw,+25078002570,,Active
SCH02571,Test School 2571,TSS,Eastern Province,Kayonza,Sector 12,Cell 2,Village 7,school2571@testschool.rw,+25078002571,,Inactive
SCH02572,Test School 2572,VTC,Western Province,Nyamasheke,Sector 13,Cell 3,Village 8,school2572@testschool.rw,+25078002572,,Active
SCH02573,Test School 2573,Other,Northern Province,Musanze,Sector 14,Cell 4,Village 9,school2573@testschool.rw,+25078002573,,Inactive
SCH02574,Test School 2574,TSS,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 10,school2574@testschool.rw,+25078002574,,Active
SCH02575,Test School 2575,VTC,Kigali City,Kicukiro,Sector 16,Cell 6,Village 11,school2575@testschool.rw,+25078002575,,Inactive
SCH02576,Test School 2576,Other,Eastern Province,Bugesera,Sector 17,Cell 7,Village 12,school2576@testschool.rw,+25078002576,,Active
SCH02577,Test School 2577,TSS,Western Province,Ngororero,Sector 18,Cell 8,Village 13,school2577@testschool.rw,+25078002577,,Inactive
SCH02578,Test School 2578,VTC,Northern Province,Musanze,Sector 19,Cell 9,Village 14,school2578@testschool.rw,+25078002578,,Active
SCH02579,Test School 2579,Other,Southern Province,Muhanga,Sector 20,Cell 10,Village 15,school2579@testschool.rw,+25078002579,,Inactive
SCH02580,Test School 2580,TSS,Kigali City,Gasabo,Sector 1,Cell 1,Village 1,school2580@testschool.rw,+25078002580,,Active
SCH02581,Test School 2581,VTC,Eastern Province,Nyagatare,Sector 2,Cell 2,Village 2,school2581@testschool.rw,+25078002581,,Inactive
SCH02582,Test School 2582,Other,Western Province,Rutsiro,Sector 3,Cell 3,Village 3,school2582@testschool.rw,+25078002582,,Active
SCH02583,Test School 2583,TSS,Northern Province,Musanze,Sector 4,Cell 4,Village 4,school2583@testschool.rw,+25078002583,,Inactive
SCH02584,Test School 2584,VTC,Southern Province,Gisagara,Sector 5,Cell 5,Village 5,school2584@testschool.rw,+25078002584,,Active
SCH02585,Test School 2585,Other,Kigali City,Nyarugenge,Sector 6,Cell 6,Village 6,school2585@testschool.rw,+25078002585,,Inactive
SCH02586,Test School 2586,TSS,Eastern Province,Kirehe,Sector 7,Cell 7,Village 7,school2586@testschool.rw,+25078002586,,Active
SCH02587,Test School 2587,VTC,Western Province,Rubavu,Sector 8,Cell 8,Village 8,school2587@testschool.rw,+25078002587,,Inactive
SCH02588,Test School 2588,Other,Northern Province,Musanze,Sector 9,Cell 9,Village 9,school2588@testschool.rw,+25078002588,,Active
SCH02589,Test School 2589,TSS,Southern Province,Nyanza,Sector 10,Cell 10,Village 10,school2589@testschool.rw,+25078002589,,Inactive
SCH02590,Test School 2590,VTC,Kigali City,Kicukiro,Sector 11,Cell 1,Village 11,school2590@testschool.rw,+25078002590,,Active
SCH02591,Test School 2591,Other,Eastern Province,Gatsibo,Sector 12,Cell 2,Village 12,school2591@testschool.rw,+25078002591,,Inactive
SCH02592,Test School 2592,TSS,Western Province,Nyabihu,Sector 13,Cell 3,Village 13,school2592@testschool.rw,+25078002592,,Active
SCH02593,Test School 2593,VTC,Northern Province,Musanze,Sector 14,Cell 4,Village 14,school2593@testschool.rw,+25078002593,,Inactive
SCH02594,Test School 2594,Other,Southern Province,Kamonyi,Sector 15,Cell 5,Village 15,school2594@testschool.rw,+25078002594,,Active
SCH02595,Test School 2595,TSS,Kigali City,Gasabo,Sector 16,Cell 6,Village 1,school2595@testschool.rw,+25078002595,,Inactive
SCH02596,Test School 2596,VTC,Eastern Province,Rwamagana,Sector 17,Cell 7,Village 2,school2596@testschool.rw,+25078002596,,Active
SCH02597,Test School 2597,Other,Western Province,Karongi,Sector 18,Cell 8,Village 3,school2597@testschool.rw,+25078002597,,Inactive
SCH02598,Test School 2598,TSS,Northern Province,Musanze,Sector 19,Cell 9,Village 4,school2598@testschool.rw,+25078002598,,Active
SCH02599,Test School 2599,VTC,Southern Province,Ruhango,Sector 20,Cell 10,Village 5,school2599@testschool.rw,+25078002599,,Inactive
SCH02600,Test School 2600,Other,Kigali City,Nyarugenge,Sector 1,Cell 1,Village 6,school2600@testschool.rw,+25078002600,,Active
SCH02601,Test School 2601,TSS,Eastern Province,Ngoma,Sector 2,Cell 2,Village 7,school2601@testschool.rw,+25078002601,,Inactive
SCH02602,Test School 2602,VTC,Western Province,Rusizi,Sector 3,Cell 3,Village 8,school2602@testschool.rw,+25078002602,,Active
SCH02603,Test School 2603,Other,Northern Province,Musanze,Sector 4,Cell 4,Village 9,school2603@testschool.rw,+25078002603,,Inactive
SCH02604,Test School 2604,TSS,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 10,school2604@testschool.rw,+25078002604,,Active
SCH02605,Test School 2605,VTC,Kigali City,Kicukiro,Sector 6,Cell 6,Village 11,school2605@testschool.rw,+25078002605,,Inactive
SCH02606,Test School 2606,Other,Eastern Province,Kayonza,Sector 7,Cell 7,Village 12,school2606@testschool.rw,+25078002606,,Active
SCH02607,Test School 2607,TSS,Western Province,Nyamasheke,Sector 8,Cell 8,Village 13,school2607@testschool.rw,+25078002607,,Inactive
SCH02608,Test School 2608,VTC,Northern Province,Musanze,Sector 9,Cell 9,Village 14,school2608@testschool.rw,+25078002608,,Active
SCH02609,Test School 2609,Other,Southern Province,Huye,Sector 10,Cell 10,Village 15,school2609@testschool.rw,+25078002609,,Inactive
SCH02610,Test School 2610,TSS,Kigali City,Gasabo,Sector 11,Cell 1,Village 1,school2610@testschool.rw,+25078002610,,Active
SCH02611,Test School 2611,VTC,Eastern Province,Bugesera,Sector 12,Cell 2,Village 2,school2611@testschool.rw,+25078002611,,Inactive
SCH02612,Test School 2612,Other,Western Province,Ngororero,Sector 13,Cell 3,Village 3,school2612@testschool.rw,+25078002612,,Active
SCH02613,Test School 2613,TSS,Northern Province,Musanze,Sector 14,Cell 4,Village 4,school2613@testschool.rw,+25078002613,,Inactive
SCH02614,Test School 2614,VTC,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 5,school2614@testschool.rw,+25078002614,,Active
SCH02615,Test School 2615,Other,Kigali City,Nyarugenge,Sector 16,Cell 6,Village 6,school2615@testschool.rw,+25078002615,,Inactive
SCH02616,Test School 2616,TSS,Eastern Province,Nyagatare,Sector 17,Cell 7,Village 7,school2616@testschool.rw,+25078002616,,Active
SCH02617,Test School 2617,VTC,Western Province,Rutsiro,Sector 18,Cell 8,Village 8,school2617@testschool.rw,+25078002617,,Inactive
SCH02618,Test School 2618,Other,Northern Province,Musanze,Sector 19,Cell 9,Village 9,school2618@testschool.rw,+25078002618,,Active
SCH02619,Test School 2619,TSS,Southern Province,Muhanga,Sector 20,Cell 10,Village 10,school2619@testschool.rw,+25078002619,,Inactive
SCH02620,Test School 2620,VTC,Kigali City,Kicukiro,Sector 1,Cell 1,Village 11,school2620@testschool.rw,+25078002620,,Active
SCH02621,Test School 2621,Other,Eastern Province,Kirehe,Sector 2,Cell 2,Village 12,school2621@testschool.rw,+25078002621,,Inactive
SCH02622,Test School 2622,TSS,Western Province,Rubavu,Sector 3,Cell 3,Village 13,school2622@testschool.rw,+25078002622,,Active
SCH02623,Test School 2623,VTC,Northern Province,Musanze,Sector 4,Cell 4,Village 14,school2623@testschool.rw,+25078002623,,Inactive
SCH02624,Test School 2624,Other,Southern Province,Gisagara,Sector 5,Cell 5,Village 15,school2624@testschool.rw,+25078002624,,Active
SCH02625,Test School 2625,TSS,Kigali City,Gasabo,Sector 6,Cell 6,Village 1,school2625@testschool.rw,+25078002625,,Inactive
SCH02626,Test School 2626,VTC,Eastern Province,Gatsibo,Sector 7,Cell 7,Village 2,school2626@testschool.rw,+25078002626,,Active
SCH02627,Test School 2627,Other,Western Province,Nyabihu,Sector 8,Cell 8,Village 3,school2627@testschool.rw,+25078002627,,Inactive
SCH02628,Test School 2628,TSS,Northern Province,Musanze,Sector 9,Cell 9,Village 4,school2628@testschool.rw,+25078002628,,Active
SCH02629,Test School 2629,VTC,Southern Province,Nyanza,Sector 10,Cell 10,Village 5,school2629@testschool.rw,+25078002629,,Inactive
SCH02630,Test School 2630,Other,Kigali City,Nyarugenge,Sector 11,Cell 1,Village 6,school2630@testschool.rw,+25078002630,,Active
SCH02631,Test School 2631,TSS,Eastern Province,Rwamagana,Sector 12,Cell 2,Village 7,school2631@testschool.rw,+25078002631,,Inactive
SCH02632,Test School 2632,VTC,Western Province,Karongi,Sector 13,Cell 3,Village 8,school2632@testschool.rw,+25078002632,,Active
SCH02633,Test School 2633,Other,Northern Province,Musanze,Sector 14,Cell 4,Village 9,school2633@testschool.rw,+25078002633,,Inactive
SCH02634,Test School 2634,TSS,Southern Province,Kamonyi,Sector 15,Cell 5,Village 10,school2634@testschool.rw,+25078002634,,Active
SCH02635,Test School 2635,VTC,Kigali City,Kicukiro,Sector 16,Cell 6,Village 11,school2635@testschool.rw,+25078002635,,Inactive
SCH02636,Test School 2636,Other,Eastern Province,Ngoma,Sector 17,Cell 7,Village 12,school2636@testschool.rw,+25078002636,,Active
SCH02637,Test School 2637,TSS,Western Province,Rusizi,Sector 18,Cell 8,Village 13,school2637@testschool.rw,+25078002637,,Inactive
SCH02638,Test School 2638,VTC,Northern Province,Musanze,Sector 19,Cell 9,Village 14,school2638@testschool.rw,+25078002638,,Active
